count	reward_sum	squared_reward_sum	length
0	-104.08083996357911	10002.992784553024	79
1	-119.24803822791702	10005.726756248096	84
2	-117.94251515126919	10005.801426009297	69
3	-114.17904742052745	10003.779171472155	63
4	-103.21317549024161	10002.131041527859	74
5	-101.99949447058547	10001.969671120156	88
6	-115.80593847058826	10004.698869389282	85
7	-142.4210028572096	28.013354747446115	2000
8	-136.92524198193294	22.217731550175447	2000
9	-108.44576887383967	10003.288889203242	77
10	-106.81372128424427	10001.342109197265	114
11	-138.61674753931	26.436154492983803	2000
12	-102.80854564514121	10004.045123919177	92
13	-138.57445811246714	24.716390948416418	2000
14	-102.41364712545027	10002.021663535654	81
15	-121.26430299763524	10006.2769167412	90
16	-155.34530627641539	31.91202573382107	2000
17	-103.52563114287341	10002.912445474822	78
18	-140.276421306119	27.988853635459897	2000
19	-110.20592572766851	10003.536022462906	57
20	-133.5002888962309	20.69152287975963	2000
21	-111.29506533662823	10003.137225788265	49
22	-110.0130169907533	10003.104122292569	42
23	-107.85088943014759	10003.356809199824	70
24	-106.66615910688206	10004.99433976248	131
25	-110.90535552824315	10002.723922733074	55
26	-111.87676781192192	10003.522270925316	58
27	-135.15577713204976	28.311315461593914	2000
28	-138.7811322801419	28.21122884426093	2000
29	-108.15360231639502	10001.930527611097	60
30	-102.62631450190962	10001.976212309193	84
31	-105.53345172427136	10002.485232624998	67
32	-109.14922098297724	10001.744396982926	83
33	-226.14504120413613	10023.792662891972	1577
34	-121.52168463382156	10007.889505920333	73
35	-147.24782754503897	29.358123693290317	2000
36	-103.35716489451065	10002.950030259275	126
37	-104.87901288735533	10004.161024203853	97
38	-101.10009114930726	10004.389098479533	72
39	-198.91408691676813	10018.236246000242	1378
40	-112.51212592695191	10005.117240341458	72
41	-114.08400811215787	10004.4641859286	72
42	-118.65743834534754	10004.546429116144	121
43	-109.58145946732706	10003.137291080078	32
44	-107.07904277839856	10000.984605203497	76
45	-121.54170868759103	10005.738029260672	109
46	-120.06794155184012	10004.338339125117	133
47	-113.64393668385377	10003.045463975242	71
48	-112.72229885203811	10002.618068162612	70
49	-118.16520955870958	10004.248369328958	122
50	-118.30301862048671	10004.354908736526	121
51	-113.28495981103445	10003.81745374018	74
52	-108.65998855361514	10001.630794879162	59
53	-106.47308413332081	10001.060491126153	45
54	-104.35782451659651	10001.318248016896	101
55	-105.67462333099135	10000.857360733844	47
56	-105.43848755798841	10001.128089142905	84
57	-124.2994371202785	10006.745117532302	124
58	-119.85158760539659	10006.848028870016	99
59	-117.80515206311901	10006.442679850687	76
60	-119.88316037640077	10006.763523212163	86
61	-123.3002714069577	10008.216519599177	101
62	-117.59202588520665	10005.826845016813	84
63	-119.8074447289133	10006.470792050824	93
64	-128.41471368394974	10007.238455439776	170
65	-124.36189108952814	10007.473768207388	122
66	-121.20888302797081	10006.89827112095	111
67	-125.30204491245823	10007.745184921598	132
68	-124.05093269980733	10005.318695279393	156
69	-123.99600037536166	10006.931825480911	244
70	-106.93549357769193	10002.161010075355	87
71	-114.67440059697499	10004.24487649928	128
