count	reward_sum	squared_reward_sum	length
0	-96.3663290683808	10002.39389464794	85
1	-96.09423128941248	10003.014746185047	113
2	-110.75450600414753	10002.449559585308	93
3	-117.92564720095743	10005.715892806824	154
4	-124.5257736085216	10009.031136773274	93
5	-122.86594148507147	10007.114766128148	92
6	-117.47614103673715	10003.88792324269	148
7	-117.91344420285844	10005.146214654793	210
8	-116.56966015347429	10002.76816385118	160
9	-145.98363749171676	10009.06163255916	795
10	-105.80715630541545	10000.824872732665	93
11	-124.28440242438268	10006.135338441101	145
12	-107.95575267102672	10001.32980618336	72
13	-120.29642011536225	10002.975164622327	179
14	-108.2926169730147	10001.88422641013	216
15	-115.1815908802474	10003.651243406024	81
16	-120.45857968265629	10006.820690505536	136
17	-122.63011859899115	10006.704360547792	137
18	-114.61250256929443	10004.632956448238	95
19	-116.46881916064078	10004.004824627586	88
20	-106.71043720608732	10000.877228689773	164
21	-116.1104610586978	10003.58312376963	97
22	-118.22370121489269	10004.620375682156	95
23	-113.57855849972454	10002.715352892732	77
24	-105.28537641816044	10001.037164961139	81
25	-120.42659057738913	10006.358368951784	95
26	-108.36367520824697	10002.457908598313	109
27	-111.13831413594478	10002.828840138814	128
28	-111.71363682000747	10003.1672484189	91
29	-121.1951289270263	10007.659978492915	140
30	-105.88236859406057	10000.92468304136	129
31	-115.53089627675415	10005.300510300247	179
32	-113.2571689911109	10001.0027398143	262
33	-165.91525693584214	10009.774709849135	1026
34	-103.66739590635272	10001.764828194491	135
35	-104.6766885535873	10001.030640390685	134
36	-111.16839483978275	10001.68015160431	230
37	-67.18553890780055	3.47618577585395	2000
38	-110.69918000014286	10004.06044132269	83
39	-105.77447072953997	10003.852853957836	102
40	-114.9598213762427	10004.409390847874	273
41	-106.0761360823751	10002.735632896227	213
42	-113.56475765650673	10003.13774015438	106
43	-99.97503020643968	10003.102658605587	110
44	-118.61943173734868	10003.70319593551	168
45	-85.15677590676205	5.312514262835541	2000
46	-104.09948184861844	10001.643254782073	178
47	-101.85698181767506	10002.057456505025	152
48	-104.80156916184922	10002.04036015527	160
49	-106.49444871545572	10002.54137908074	139
50	-110.26234845264288	10004.147977726008	180
51	-101.63902914428955	10002.400416223954	164
52	-104.45887325684144	10001.201681256127	180
53	-108.35075439499606	10004.2658214634	160
54	-102.29321716732804	10001.887837016182	135
55	-103.20267677457191	10002.746109888703	144
56	-117.87732477452211	10003.869184178526	104
57	-77.98009609977935	6.509841243494445	2000
58	-117.17235705280481	10005.323149728798	99
59	-151.84753816606525	10005.365342836447	1566
60	-105.5481388839571	10002.21128899843	147
61	-109.26861749684194	10002.85369668127	143
62	-112.35028787144209	10003.440694075685	304
63	-116.05996405212218	10005.855059564197	83
64	-115.73169007867065	10006.471391717434	75
65	-113.54727234414449	10004.441893152572	91
66	-107.69475036523745	10003.991807533397	187
67	-118.08741016807737	10007.199690515705	82
68	-108.8815302086166	10003.698251769621	141
69	-111.09541785082476	10003.614846412143	230
70	-109.64132042557665	10005.17107005888	156
71	-110.8776568622123	10003.446009755484	146
72	-108.26801348571463	10003.302670708184	300
73	-103.06071378572965	10000.935294136356	109
74	-108.24315825815341	10002.542111002016	173
75	-109.00429043282554	10002.723459216566	194
76	-109.06052234544259	10001.820005246364	184
77	-118.4919030567502	10004.463583229648	387
78	-109.80402592920086	10003.205902382302	192
79	-113.45428850175158	10007.708689372454	197
80	-106.02049113735325	10003.821919487502	344
81	-105.56304021536654	10003.785454081446	297
82	-100.92863613895919	10001.9543048053	143
83	-121.63282323115884	10003.702047060886	784
84	-105.51402620221947	10003.773575610741	353
85	-104.43601914068232	10003.172139957016	299
86	-105.57284529281975	10002.777789014788	306
87	-110.34293467723943	10001.499382383365	445
88	-124.74906036071867	10003.548509471468	855
89	-100.88325311751275	10003.427235313384	328
90	-98.17960828606707	10003.237933469936	223
91	-98.25669066646799	10001.765212951386	156
92	-113.06629650047078	10004.667395872628	96
93	-97.29779824001626	10002.246819542457	240
94	-94.86705256992542	10002.263770263678	185
95	-98.21722932889199	10002.345466381821	228
96	-98.4661220375789	10001.474651154414	205
97	-136.52981044697069	10009.240500055113	246
98	-93.62454120093246	10003.623843263886	184
99	-87.36636784223397	10004.123491061571	237
100	-97.46850575645479	10003.659896052455	518
101	-125.56898174815409	10011.291949238268	151
102	-92.83962751412062	10003.246582475747	360
103	-114.87521133435652	10004.296432529625	90
104	-113.32584558216813	10003.144174178866	136
105	-115.32079949848321	10006.489264574882	72
106	-111.67316919090061	10003.280708745517	69
107	-114.51986234045127	10005.97271426527	72
108	-103.21372466980881	10004.37377062932	313
109	-93.97456673279761	10002.204918837284	134
110	-91.33957602516301	10003.014337465236	186
111	-115.41564265809446	10006.46607575466	98
112	-125.6409167089108	10009.512203826032	113
113	-91.83890337911822	10005.982016122833	1143
114	-113.35728450052474	10008.422957939098	754
115	-138.98486857532663	10006.49049913942	1235
116	-93.85251570277649	10001.886296720826	118
117	-94.96880862406418	10003.93360412223	168
118	-91.93265322296557	10004.817211770014	592
119	-93.28021582642357	10003.664858101232	162
120	-106.82004364079822	10001.638846344045	58
121	-72.12754263231476	9.93959944229663	2000
122	-86.65320740841062	10002.665136497748	313
123	-99.69612095319275	10001.04955660074	100
124	-98.89783072021415	10000.677909211723	132
125	-117.89187808471752	10007.539236352979	223
126	-90.49408762390851	8.93676709021706	2000
127	-92.27918809678752	10003.141508830422	193
128	-77.54032446294087	10006.935815859668	586
129	-101.96489190689519	10002.791879991526	167
130	-89.07892025130828	10003.814706693902	139
131	-88.88262095213418	10012.462222883165	759
132	-88.84330721921904	10002.796666388005	145
133	-93.77616053338264	10002.0023375467	117
134	-84.82412586083815	10003.513009419796	263
135	-101.07625767161002	10001.69222821691	170
136	-92.58579714520816	10001.726385603984	131
137	-87.56637255012834	10003.421969316627	171
138	-75.89864905599308	10005.179918967624	268
139	-89.87278001691428	10002.155489926736	162
140	-94.9264917406541	10001.927531153997	128
141	-95.0387058476736	10001.780844896262	116
142	-94.84372315296474	10001.386085717913	147
143	-124.2239514235261	10007.561493447092	144
144	-94.43210566173626	10001.214267137228	138
145	-94.3678392791228	10001.506949344062	122
146	-108.88228468879863	10001.813996136898	121
147	-113.70731315249017	10004.719438333617	119
148	-105.70356805880037	10001.296918609427	93
149	-95.28221571427929	10002.987926817808	154
150	-90.60602915269519	10003.472223767272	124
151	-106.56966776951712	10001.149267309169	80
152	-78.16674182456562	10006.28138434967	273
153	-107.85237169447572	10001.953524163311	81
154	-86.83986942830904	10003.357870591413	168
155	-62.84884513418969	10007.551306285919	359
156	-86.61535029701093	10003.038137208363	178
157	-92.9857671229049	10002.536750326735	246
158	-40.07860196487797	10013.8951281552	705
159	-70.81335385328492	10007.279301520835	515
160	-98.8679459728758	10001.883154502042	245
161	-89.39726115402036	10003.403503402025	167
162	-87.4729923734267	10002.667779371399	239
163	-120.39176041884697	10005.683129405208	142
164	-53.1540293715187	10012.620849964263	892
165	25.42888169569416	26.713665216790123	2000
166	-88.15555757372056	10003.577472539	126
167	-46.609710028508836	10021.041984012249	995
168	-78.04316371847827	10005.939092491742	201
169	-83.01051754021671	10004.668826461115	183
170	-43.75907260655633	10015.104060290842	937
171	-14.02544047895448	10016.164464201358	794
172	-43.12362161816866	10011.927500703694	365
173	-72.262976157075	10005.423551092543	281
174	-27.678445300098033	10012.637382054478	755
175	-45.79195850668144	10011.749793658135	409
176	-69.85900977731737	10006.708283644066	243
177	-72.67421974769779	10006.89268903418	206
178	-84.7696993545651	10005.39168113687	127
179	-86.28522586025532	10003.842906276555	108
180	-73.87178684103473	10006.288957268582	274
181	-49.757398643135865	10012.020391285076	443
182	-39.3922774654676	10012.950589582433	463
183	-65.13845873316605	10007.923557635817	332
184	-89.44024945527745	10003.130468973293	99
185	-69.52267840336113	10007.897897880954	347
186	-33.51622310971793	10016.356225931564	545
187	-31.96593655056475	10015.364529583647	456
188	13.31315042119121	10024.573210247318	813
189	-42.78961263420764	10011.956065547382	476
190	72.90657119570085	10036.033235586527	1321
191	-94.18467320385864	10002.345544242296	89
192	-86.84467489592937	10003.142762884085	140
193	207.51047147370087	44.26816479521229	1458
194	209.3281786443045	44.607137486601204	1385
195	-30.739291868050955	10017.153914482797	376
196	211.0733487259142	46.894932393801575	1363
197	-60.62511162784327	10009.073967041308	271
198	-0.15167010239755996	10024.643465883824	796
199	211.7337000735264	44.452262329125176	1343
200	211.9599264126648	47.83426444214907	1330
201	-36.859123149421364	10014.4732158705	358
202	-0.5725815411273913	10023.397047950268	571
203	214.98091357194284	47.40697399374097	1233
204	11.185420144710093	10025.358583877618	668
205	-0.2524674354260412	10023.18737915182	558
206	219.95720919096098	52.65691633886098	1132
207	219.88938055974538	53.04137417228077	1118
208	47.40322200024352	10035.734360219874	751
209	69.20779879128531	10040.342070138146	885
210	-35.57994837295843	10016.29755476729	339
211	-46.751183008718115	10013.234816120517	286
212	-43.29989665989798	10013.6052355046	321
213	98.20033042321674	10050.835890583423	932
214	223.75648394833513	57.542265925100146	1028
